0.000000 crop w 405, crop h 720, crop x 789, crop y 0;
2.040000 crop w 405, crop h 720, crop x 422, crop y 0;
2.080000 crop w 405, crop h 720, crop x 428, crop y 0;
2.120000 crop w 405, crop h 720, crop x 435, crop y 0;
2.160000 crop w 405, crop h 720, crop x 442, crop y 0;
2.200000 crop w 405, crop h 720, crop x 449, crop y 0;
2.240000 crop w 405, crop h 720, crop x 456, crop y 0;
2.280000 crop w 405, crop h 720, crop x 462, crop y 0;
2.320000 crop w 405, crop h 720, crop x 468, crop y 0;
2.360000 crop w 405, crop h 720, crop x 474, crop y 0;
2.400000 crop w 405, crop h 720, crop x 480, crop y 0;
2.440000 crop w 405, crop h 720, crop x 485, crop y 0;
2.480000 crop w 405, crop h 720, crop x 490, crop y 0;
2.520000 crop w 405, crop h 720, crop x 495, crop y 0;
2.560000 crop w 405, crop h 720, crop x 500, crop y 0;
2.600000 crop w 405, crop h 720, crop x 505, crop y 0;
2.640000 crop w 405, crop h 720, crop x 509, crop y 0;
2.680000 crop w 405, crop h 720, crop x 514, crop y 0;
2.720000 crop w 405, crop h 720, crop x 514, crop y 0;
2.760000 crop w 405, crop h 720, crop x 514, crop y 0;
2.800000 crop w 405, crop h 720, crop x 513, crop y 0;
2.840000 crop w 405, crop h 720, crop x 513, crop y 0;
2.880000 crop w 405, crop h 720, crop x 512, crop y 0;
2.920000 crop w 405, crop h 720, crop x 511, crop y 0;
2.960000 crop w 405, crop h 720, crop x 511, crop y 0;
3.000000 crop w 405, crop h 720, crop x 510, crop y 0;
3.040000 crop w 405, crop h 720, crop x 509, crop y 0;
3.080000 crop w 405, crop h 720, crop x 508, crop y 0;
3.120000 crop w 405, crop h 720, crop x 507, crop y 0;
3.160000 crop w 405, crop h 720, crop x 502, crop y 0;
3.200000 crop w 405, crop h 720, crop x 497, crop y 0;
3.240000 crop w 405, crop h 720, crop x 488, crop y 0;
3.280000 crop w 405, crop h 720, crop x 478, crop y 0;
3.320000 crop w 405, crop h 720, crop x 465, crop y 0;
3.360000 crop w 405, crop h 720, crop x 450, crop y 0;
3.400000 crop w 405, crop h 720, crop x 431, crop y 0;
3.440000 crop w 405, crop h 720, crop x 416, crop y 0;
3.480000 crop w 405, crop h 720, crop x 402, crop y 0;
3.520000 crop w 405, crop h 720, crop x 387, crop y 0;
3.560000 crop w 405, crop h 720, crop x 373, crop y 0;
3.600000 crop w 405, crop h 720, crop x 360, crop y 0;
3.640000 crop w 405, crop h 720, crop x 347, crop y 0;
3.680000 crop w 405, crop h 720, crop x 335, crop y 0;
3.720000 crop w 405, crop h 720, crop x 324, crop y 0;
3.760000 crop w 405, crop h 720, crop x 313, crop y 0;
3.800000 crop w 405, crop h 720, crop x 303, crop y 0;
3.840000 crop w 405, crop h 720, crop x 293, crop y 0;
3.880000 crop w 405, crop h 720, crop x 284, crop y 0;
3.920000 crop w 405, crop h 720, crop x 276, crop y 0;
3.960000 crop w 405, crop h 720, crop x 267, crop y 0;
4.000000 crop w 405, crop h 720, crop x 260, crop y 0;
4.040000 crop w 405, crop h 720, crop x 252, crop y 0;
4.080000 crop w 405, crop h 720, crop x 245, crop y 0;
4.120000 crop w 405, crop h 720, crop x 237, crop y 0;
4.160000 crop w 405, crop h 720, crop x 230, crop y 0;
4.200000 crop w 405, crop h 720, crop x 223, crop y 0;
4.240000 crop w 405, crop h 720, crop x 216, crop y 0;
4.280000 crop w 405, crop h 720, crop x 209, crop y 0;
4.320000 crop w 405, crop h 720, crop x 202, crop y 0;
4.360000 crop w 405, crop h 720, crop x 195, crop y 0;
4.400000 crop w 405, crop h 720, crop x 188, crop y 0;
4.440000 crop w 405, crop h 720, crop x 181, crop y 0;
4.480000 crop w 405, crop h 720, crop x 175, crop y 0;
4.520000 crop w 405, crop h 720, crop x 170, crop y 0;
4.560000 crop w 405, crop h 720, crop x 165, crop y 0;
4.600000 crop w 405, crop h 720, crop x 160, crop y 0;
4.640000 crop w 405, crop h 720, crop x 155, crop y 0;
4.680000 crop w 405, crop h 720, crop x 150, crop y 0;
4.720000 crop w 405, crop h 720, crop x 145, crop y 0;
4.760000 crop w 405, crop h 720, crop x 141, crop y 0;
4.800000 crop w 405, crop h 720, crop x 138, crop y 0;
4.840000 crop w 405, crop h 720, crop x 136, crop y 0;
4.880000 crop w 405, crop h 720, crop x 134, crop y 0;
4.920000 crop w 405, crop h 720, crop x 134, crop y 0;
4.960000 crop w 405, crop h 720, crop x 134, crop y 0;
5.000000 crop w 405, crop h 720, crop x 134, crop y 0;
5.040000 crop w 405, crop h 720, crop x 134, crop y 0;
5.080000 crop w 405, crop h 720, crop x 135, crop y 0;
5.120000 crop w 405, crop h 720, crop x 136, crop y 0;
5.160000 crop w 405, crop h 720, crop x 137, crop y 0;
5.200000 crop w 405, crop h 720, crop x 138, crop y 0;
5.240000 crop w 405, crop h 720, crop x 140, crop y 0;
5.280000 crop w 405, crop h 720, crop x 141, crop y 0;
5.320000 crop w 405, crop h 720, crop x 142, crop y 0;
5.360000 crop w 405, crop h 720, crop x 143, crop y 0;
5.400000 crop w 405, crop h 720, crop x 144, crop y 0;
5.440000 crop w 405, crop h 720, crop x 146, crop y 0;
5.480000 crop w 405, crop h 720, crop x 148, crop y 0;
5.520000 crop w 405, crop h 720, crop x 149, crop y 0;
5.560000 crop w 405, crop h 720, crop x 151, crop y 0;
5.600000 crop w 405, crop h 720, crop x 152, crop y 0;
5.640000 crop w 405, crop h 720, crop x 153, crop y 0;
5.680000 crop w 405, crop h 720, crop x 154, crop y 0;
5.720000 crop w 405, crop h 720, crop x 155, crop y 0;
5.760000 crop w 405, crop h 720, crop x 156, crop y 0;
5.800000 crop w 405, crop h 720, crop x 156, crop y 0;
5.840000 crop w 405, crop h 720, crop x 157, crop y 0;
5.880000 crop w 405, crop h 720, crop x 157, crop y 0;
5.920000 crop w 405, crop h 720, crop x 158, crop y 0;
5.960000 crop w 405, crop h 720, crop x 160, crop y 0;
6.000000 crop w 405, crop h 720, crop x 161, crop y 0;
6.040000 crop w 405, crop h 720, crop x 163, crop y 0;
6.080000 crop w 405, crop h 720, crop x 164, crop y 0;
6.120000 crop w 405, crop h 720, crop x 166, crop y 0;
6.160000 crop w 405, crop h 720, crop x 167, crop y 0;
6.200000 crop w 405, crop h 720, crop x 169, crop y 0;
6.240000 crop w 405, crop h 720, crop x 171, crop y 0;
6.280000 crop w 405, crop h 720, crop x 174, crop y 0;
6.320000 crop w 405, crop h 720, crop x 178, crop y 0;
6.360000 crop w 405, crop h 720, crop x 182, crop y 0;
6.400000 crop w 405, crop h 720, crop x 187, crop y 0;
6.440000 crop w 405, crop h 720, crop x 191, crop y 0;
6.480000 crop w 405, crop h 720, crop x 195, crop y 0;
6.520000 crop w 405, crop h 720, crop x 198, crop y 0;
6.560000 crop w 405, crop h 720, crop x 202, crop y 0;
6.600000 crop w 405, crop h 720, crop x 202, crop y 0;
6.640000 crop w 405, crop h 720, crop x 202, crop y 0;
6.680000 crop w 405, crop h 720, crop x 202, crop y 0;
6.720000 crop w 405, crop h 720, crop x 207, crop y 0;
6.760000 crop w 405, crop h 720, crop x 214, crop y 0;
6.800000 crop w 405, crop h 720, crop x 223, crop y 0;
6.840000 crop w 405, crop h 720, crop x 234, crop y 0;
6.880000 crop w 405, crop h 720, crop x 247, crop y 0;
6.920000 crop w 405, crop h 720, crop x 261, crop y 0;
6.960000 crop w 405, crop h 720, crop x 276, crop y 0;
7.000000 crop w 405, crop h 720, crop x 291, crop y 0;
7.040000 crop w 405, crop h 720, crop x 306, crop y 0;
7.080000 crop w 405, crop h 720, crop x 321, crop y 0;
7.120000 crop w 405, crop h 720, crop x 336, crop y 0;
7.160000 crop w 405, crop h 720, crop x 351, crop y 0;
7.200000 crop w 405, crop h 720, crop x 366, crop y 0;
7.240000 crop w 405, crop h 720, crop x 381, crop y 0;
7.280000 crop w 405, crop h 720, crop x 396, crop y 0;
7.320000 crop w 405, crop h 720, crop x 411, crop y 0;
7.360000 crop w 405, crop h 720, crop x 426, crop y 0;
7.400000 crop w 405, crop h 720, crop x 441, crop y 0;
7.440000 crop w 405, crop h 720, crop x 456, crop y 0;
7.480000 crop w 405, crop h 720, crop x 471, crop y 0;
7.520000 crop w 405, crop h 720, crop x 486, crop y 0;
7.560000 crop w 405, crop h 720, crop x 501, crop y 0;
7.600000 crop w 405, crop h 720, crop x 516, crop y 0;
7.640000 crop w 405, crop h 720, crop x 531, crop y 0;
7.680000 crop w 405, crop h 720, crop x 546, crop y 0;
7.720000 crop w 405, crop h 720, crop x 561, crop y 0;
7.760000 crop w 405, crop h 720, crop x 576, crop y 0;
7.800000 crop w 405, crop h 720, crop x 588, crop y 0;
7.840000 crop w 405, crop h 720, crop x 598, crop y 0;
7.880000 crop w 405, crop h 720, crop x 604, crop y 0;
7.920000 crop w 405, crop h 720, crop x 608, crop y 0;
7.960000 crop w 405, crop h 720, crop x 610, crop y 0;
8.000000 crop w 405, crop h 720, crop x 610, crop y 0;
8.040000 crop w 405, crop h 720, crop x 610, crop y 0;
8.080000 crop w 405, crop h 720, crop x 610, crop y 0;
8.120000 crop w 405, crop h 720, crop x 609, crop y 0;
8.160000 crop w 405, crop h 720, crop x 608, crop y 0;
8.200000 crop w 405, crop h 720, crop x 607, crop y 0;
8.240000 crop w 405, crop h 720, crop x 604, crop y 0;
8.280000 crop w 405, crop h 720, crop x 600, crop y 0;
8.320000 crop w 405, crop h 720, crop x 596, crop y 0;
8.360000 crop w 405, crop h 720, crop x 591, crop y 0;
8.400000 crop w 405, crop h 720, crop x 585, crop y 0;
8.440000 crop w 405, crop h 720, crop x 579, crop y 0;
8.480000 crop w 405, crop h 720, crop x 570, crop y 0;
8.520000 crop w 405, crop h 720, crop x 563, crop y 0;
8.560000 crop w 405, crop h 720, crop x 557, crop y 0;
8.600000 crop w 405, crop h 720, crop x 552, crop y 0;
8.640000 crop w 405, crop h 720, crop x 548, crop y 0;
8.680000 crop w 405, crop h 720, crop x 544, crop y 0;
8.720000 crop w 405, crop h 720, crop x 542, crop y 0;
8.760000 crop w 405, crop h 720, crop x 540, crop y 0;
8.800000 crop w 405, crop h 720, crop x 538, crop y 0;
8.840000 crop w 405, crop h 720, crop x 537, crop y 0;
8.880000 crop w 405, crop h 720, crop x 536, crop y 0;
8.920000 crop w 405, crop h 720, crop x 535, crop y 0;
8.960000 crop w 405, crop h 720, crop x 534, crop y 0;
9.000000 crop w 405, crop h 720, crop x 534, crop y 0;
9.040000 crop w 405, crop h 720, crop x 533, crop y 0;
9.080000 crop w 405, crop h 720, crop x 533, crop y 0;
9.120000 crop w 405, crop h 720, crop x 533, crop y 0;
9.160000 crop w 405, crop h 720, crop x 532, crop y 0;
9.200000 crop w 405, crop h 720, crop x 532, crop y 0;
9.240000 crop w 405, crop h 720, crop x 532, crop y 0;
9.280000 crop w 405, crop h 720, crop x 532, crop y 0;
9.320000 crop w 405, crop h 720, crop x 532, crop y 0;
9.360000 crop w 405, crop h 720, crop x 532, crop y 0;
9.400000 crop w 405, crop h 720, crop x 532, crop y 0;
9.440000 crop w 405, crop h 720, crop x 532, crop y 0;
9.480000 crop w 405, crop h 720, crop x 532, crop y 0;
9.520000 crop w 405, crop h 720, crop x 532, crop y 0;
9.560000 crop w 405, crop h 720, crop x 532, crop y 0;
9.600000 crop w 405, crop h 720, crop x 532, crop y 0;
9.640000 crop w 405, crop h 720, crop x 532, crop y 0;
9.680000 crop w 405, crop h 720, crop x 532, crop y 0;
9.720000 crop w 405, crop h 720, crop x 532, crop y 0;
9.760000 crop w 405, crop h 720, crop x 532, crop y 0;
9.800000 crop w 405, crop h 720, crop x 532, crop y 0;
9.840000 crop w 405, crop h 720, crop x 532, crop y 0;
9.880000 crop w 405, crop h 720, crop x 532, crop y 0;
9.920000 crop w 405, crop h 720, crop x 532, crop y 0;
9.960000 crop w 405, crop h 720, crop x 532, crop y 0;
10.000000 crop w 405, crop h 720, crop x 532, crop y 0;
10.040000 crop w 405, crop h 720, crop x 532, crop y 0;
10.080000 crop w 405, crop h 720, crop x 532, crop y 0;
10.120000 crop w 405, crop h 720, crop x 532, crop y 0;
10.160000 crop w 405, crop h 720, crop x 532, crop y 0;
10.200000 crop w 405, crop h 720, crop x 532, crop y 0;
10.240000 crop w 405, crop h 720, crop x 532, crop y 0;
10.280000 crop w 405, crop h 720, crop x 516, crop y 0;
10.320000 crop w 405, crop h 720, crop x 504, crop y 0;
10.360000 crop w 405, crop h 720, crop x 495, crop y 0;
10.400000 crop w 405, crop h 720, crop x 487, crop y 0;
10.440000 crop w 405, crop h 720, crop x 481, crop y 0;
10.480000 crop w 405, crop h 720, crop x 476, crop y 0;
10.520000 crop w 405, crop h 720, crop x 472, crop y 0;
10.560000 crop w 405, crop h 720, crop x 469, crop y 0;
10.600000 crop w 405, crop h 720, crop x 466, crop y 0;
10.640000 crop w 405, crop h 720, crop x 464, crop y 0;
10.680000 crop w 405, crop h 720, crop x 463, crop y 0;
10.720000 crop w 405, crop h 720, crop x 461, crop y 0;
10.760000 crop w 405, crop h 720, crop x 460, crop y 0;
10.800000 crop w 405, crop h 720, crop x 459, crop y 0;
10.840000 crop w 405, crop h 720, crop x 459, crop y 0;
10.880000 crop w 405, crop h 720, crop x 458, crop y 0;
10.920000 crop w 405, crop h 720, crop x 458, crop y 0;
10.960000 crop w 405, crop h 720, crop x 457, crop y 0;
11.000000 crop w 405, crop h 720, crop x 457, crop y 0;
11.040000 crop w 405, crop h 720, crop x 457, crop y 0;
11.080000 crop w 405, crop h 720, crop x 457, crop y 0;
11.120000 crop w 405, crop h 720, crop x 457, crop y 0;
11.160000 crop w 405, crop h 720, crop x 454, crop y 0;
11.200000 crop w 405, crop h 720, crop x 451, crop y 0;
11.240000 crop w 405, crop h 720, crop x 449, crop y 0;
11.280000 crop w 405, crop h 720, crop x 447, crop y 0;
11.320000 crop w 405, crop h 720, crop x 445, crop y 0;
11.360000 crop w 405, crop h 720, crop x 442, crop y 0;
11.400000 crop w 405, crop h 720, crop x 439, crop y 0;
11.440000 crop w 405, crop h 720, crop x 436, crop y 0;
11.480000 crop w 405, crop h 720, crop x 434, crop y 0;
11.520000 crop w 405, crop h 720, crop x 432, crop y 0;
11.560000 crop w 405, crop h 720, crop x 437, crop y 0;
11.600000 crop w 405, crop h 720, crop x 437, crop y 0;
11.640000 crop w 405, crop h 720, crop x 437, crop y 0;
11.680000 crop w 405, crop h 720, crop x 437, crop y 0;
11.720000 crop w 405, crop h 720, crop x 437, crop y 0;
11.760000 crop w 405, crop h 720, crop x 437, crop y 0;
11.800000 crop w 405, crop h 720, crop x 437, crop y 0;
11.840000 crop w 405, crop h 720, crop x 437, crop y 0;
11.880000 crop w 405, crop h 720, crop x 437, crop y 0;
11.920000 crop w 405, crop h 720, crop x 437, crop y 0;
11.960000 crop w 405, crop h 720, crop x 437, crop y 0;
