0.000000 crop w 405, crop h 720, crop x 34, crop y 0;
2.880000 crop w 405, crop h 720, crop x 442, crop y 0;
2.920000 crop w 405, crop h 720, crop x 444, crop y 0;
2.960000 crop w 405, crop h 720, crop x 446, crop y 0;
3.000000 crop w 405, crop h 720, crop x 447, crop y 0;
3.040000 crop w 405, crop h 720, crop x 448, crop y 0;
3.080000 crop w 405, crop h 720, crop x 448, crop y 0;
3.120000 crop w 405, crop h 720, crop x 449, crop y 0;
3.160000 crop w 405, crop h 720, crop x 450, crop y 0;
3.200000 crop w 405, crop h 720, crop x 450, crop y 0;
3.240000 crop w 405, crop h 720, crop x 450, crop y 0;
3.280000 crop w 405, crop h 720, crop x 450, crop y 0;
3.320000 crop w 405, crop h 720, crop x 451, crop y 0;
3.360000 crop w 405, crop h 720, crop x 451, crop y 0;
3.400000 crop w 405, crop h 720, crop x 451, crop y 0;
3.440000 crop w 405, crop h 720, crop x 451, crop y 0;
3.480000 crop w 405, crop h 720, crop x 451, crop y 0;
3.520000 crop w 405, crop h 720, crop x 451, crop y 0;
3.560000 crop w 405, crop h 720, crop x 451, crop y 0;
3.600000 crop w 405, crop h 720, crop x 445, crop y 0;
3.640000 crop w 405, crop h 720, crop x 439, crop y 0;
3.680000 crop w 405, crop h 720, crop x 431, crop y 0;
3.720000 crop w 405, crop h 720, crop x 423, crop y 0;
3.760000 crop w 405, crop h 720, crop x 414, crop y 0;
3.800000 crop w 405, crop h 720, crop x 404, crop y 0;
3.840000 crop w 405, crop h 720, crop x 394, crop y 0;
3.880000 crop w 405, crop h 720, crop x 385, crop y 0;
3.920000 crop w 405, crop h 720, crop x 375, crop y 0;
3.960000 crop w 405, crop h 720, crop x 365, crop y 0;
4.000000 crop w 405, crop h 720, crop x 356, crop y 0;
4.040000 crop w 405, crop h 720, crop x 348, crop y 0;
4.080000 crop w 405, crop h 720, crop x 339, crop y 0;
4.120000 crop w 405, crop h 720, crop x 332, crop y 0;
4.160000 crop w 405, crop h 720, crop x 325, crop y 0;
4.200000 crop w 405, crop h 720, crop x 319, crop y 0;
4.240000 crop w 405, crop h 720, crop x 314, crop y 0;
4.280000 crop w 405, crop h 720, crop x 309, crop y 0;
4.320000 crop w 405, crop h 720, crop x 305, crop y 0;
4.360000 crop w 405, crop h 720, crop x 302, crop y 0;
4.400000 crop w 405, crop h 720, crop x 299, crop y 0;
4.440000 crop w 405, crop h 720, crop x 296, crop y 0;
4.480000 crop w 405, crop h 720, crop x 295, crop y 0;
4.520000 crop w 405, crop h 720, crop x 293, crop y 0;
4.560000 crop w 405, crop h 720, crop x 292, crop y 0;
4.600000 crop w 405, crop h 720, crop x 291, crop y 0;
4.640000 crop w 405, crop h 720, crop x 290, crop y 0;
4.680000 crop w 405, crop h 720, crop x 290, crop y 0;
4.720000 crop w 405, crop h 720, crop x 289, crop y 0;
4.760000 crop w 405, crop h 720, crop x 289, crop y 0;
4.800000 crop w 405, crop h 720, crop x 288, crop y 0;
4.840000 crop w 405, crop h 720, crop x 288, crop y 0;
4.880000 crop w 405, crop h 720, crop x 288, crop y 0;
4.920000 crop w 405, crop h 720, crop x 288, crop y 0;
4.960000 crop w 405, crop h 720, crop x 288, crop y 0;
5.000000 crop w 405, crop h 720, crop x 288, crop y 0;
5.040000 crop w 405, crop h 720, crop x 287, crop y 0;
5.080000 crop w 405, crop h 720, crop x 287, crop y 0;
5.120000 crop w 405, crop h 720, crop x 286, crop y 0;
5.160000 crop w 405, crop h 720, crop x 281, crop y 0;
5.200000 crop w 405, crop h 720, crop x 276, crop y 0;
5.240000 crop w 405, crop h 720, crop x 272, crop y 0;
5.280000 crop w 405, crop h 720, crop x 270, crop y 0;
5.320000 crop w 405, crop h 720, crop x 264, crop y 0;
5.360000 crop w 405, crop h 720, crop x 259, crop y 0;
5.400000 crop w 405, crop h 720, crop x 256, crop y 0;
5.440000 crop w 405, crop h 720, crop x 252, crop y 0;
5.480000 crop w 405, crop h 720, crop x 254, crop y 0;
5.520000 crop w 405, crop h 720, crop x 258, crop y 0;
5.560000 crop w 405, crop h 720, crop x 265, crop y 0;
5.600000 crop w 405, crop h 720, crop x 274, crop y 0;
5.640000 crop w 405, crop h 720, crop x 284, crop y 0;
5.680000 crop w 405, crop h 720, crop x 296, crop y 0;
5.720000 crop w 405, crop h 720, crop x 309, crop y 0;
5.760000 crop w 405, crop h 720, crop x 323, crop y 0;
5.800000 crop w 405, crop h 720, crop x 338, crop y 0;
5.840000 crop w 405, crop h 720, crop x 353, crop y 0;
5.880000 crop w 405, crop h 720, crop x 368, crop y 0;
5.920000 crop w 405, crop h 720, crop x 383, crop y 0;
5.960000 crop w 405, crop h 720, crop x 398, crop y 0;
6.000000 crop w 405, crop h 720, crop x 413, crop y 0;
6.040000 crop w 405, crop h 720, crop x 426, crop y 0;
6.080000 crop w 405, crop h 720, crop x 439, crop y 0;
6.120000 crop w 405, crop h 720, crop x 451, crop y 0;
6.160000 crop w 405, crop h 720, crop x 461, crop y 0;
6.200000 crop w 405, crop h 720, crop x 471, crop y 0;
6.240000 crop w 405, crop h 720, crop x 479, crop y 0;
6.280000 crop w 405, crop h 720, crop x 487, crop y 0;
6.320000 crop w 405, crop h 720, crop x 493, crop y 0;
6.360000 crop w 405, crop h 720, crop x 499, crop y 0;
6.400000 crop w 405, crop h 720, crop x 503, crop y 0;
6.440000 crop w 405, crop h 720, crop x 507, crop y 0;
6.480000 crop w 405, crop h 720, crop x 510, crop y 0;
6.520000 crop w 405, crop h 720, crop x 512, crop y 0;
6.560000 crop w 405, crop h 720, crop x 514, crop y 0;
6.600000 crop w 405, crop h 720, crop x 516, crop y 0;
6.640000 crop w 405, crop h 720, crop x 517, crop y 0;
6.680000 crop w 405, crop h 720, crop x 518, crop y 0;
6.720000 crop w 405, crop h 720, crop x 519, crop y 0;
6.760000 crop w 405, crop h 720, crop x 519, crop y 0;
6.800000 crop w 405, crop h 720, crop x 520, crop y 0;
6.840000 crop w 405, crop h 720, crop x 520, crop y 0;
6.880000 crop w 405, crop h 720, crop x 521, crop y 0;
6.920000 crop w 405, crop h 720, crop x 522, crop y 0;
6.960000 crop w 405, crop h 720, crop x 524, crop y 0;
7.000000 crop w 405, crop h 720, crop x 526, crop y 0;
7.040000 crop w 405, crop h 720, crop x 528, crop y 0;
7.080000 crop w 405, crop h 720, crop x 530, crop y 0;
7.120000 crop w 405, crop h 720, crop x 532, crop y 0;
7.160000 crop w 405, crop h 720, crop x 533, crop y 0;
7.200000 crop w 405, crop h 720, crop x 548, crop y 0;
7.240000 crop w 405, crop h 720, crop x 560, crop y 0;
7.280000 crop w 405, crop h 720, crop x 570, crop y 0;
7.320000 crop w 405, crop h 720, crop x 578, crop y 0;
7.360000 crop w 405, crop h 720, crop x 584, crop y 0;
7.400000 crop w 405, crop h 720, crop x 589, crop y 0;
7.440000 crop w 405, crop h 720, crop x 593, crop y 0;
7.480000 crop w 405, crop h 720, crop x 596, crop y 0;
7.520000 crop w 405, crop h 720, crop x 599, crop y 0;
7.560000 crop w 405, crop h 720, crop x 601, crop y 0;
7.600000 crop w 405, crop h 720, crop x 603, crop y 0;
7.640000 crop w 405, crop h 720, crop x 604, crop y 0;
7.680000 crop w 405, crop h 720, crop x 605, crop y 0;
7.720000 crop w 405, crop h 720, crop x 606, crop y 0;
7.760000 crop w 405, crop h 720, crop x 606, crop y 0;
7.800000 crop w 405, crop h 720, crop x 607, crop y 0;
7.840000 crop w 405, crop h 720, crop x 607, crop y 0;
7.880000 crop w 405, crop h 720, crop x 608, crop y 0;
7.920000 crop w 405, crop h 720, crop x 608, crop y 0;
7.960000 crop w 405, crop h 720, crop x 608, crop y 0;
8.000000 crop w 405, crop h 720, crop x 608, crop y 0;
8.040000 crop w 405, crop h 720, crop x 608, crop y 0;
8.080000 crop w 405, crop h 720, crop x 609, crop y 0;
8.120000 crop w 405, crop h 720, crop x 609, crop y 0;
8.160000 crop w 405, crop h 720, crop x 609, crop y 0;
8.200000 crop w 405, crop h 720, crop x 609, crop y 0;
8.240000 crop w 405, crop h 720, crop x 609, crop y 0;
8.280000 crop w 405, crop h 720, crop x 609, crop y 0;
8.320000 crop w 405, crop h 720, crop x 609, crop y 0;
8.360000 crop w 405, crop h 720, crop x 609, crop y 0;
8.400000 crop w 405, crop h 720, crop x 609, crop y 0;
8.440000 crop w 405, crop h 720, crop x 609, crop y 0;
8.480000 crop w 405, crop h 720, crop x 609, crop y 0;
8.520000 crop w 405, crop h 720, crop x 609, crop y 0;
8.560000 crop w 405, crop h 720, crop x 609, crop y 0;
8.600000 crop w 405, crop h 720, crop x 608, crop y 0;
8.640000 crop w 405, crop h 720, crop x 607, crop y 0;
8.680000 crop w 405, crop h 720, crop x 606, crop y 0;
8.720000 crop w 405, crop h 720, crop x 604, crop y 0;
8.760000 crop w 405, crop h 720, crop x 602, crop y 0;
8.800000 crop w 405, crop h 720, crop x 598, crop y 0;
8.840000 crop w 405, crop h 720, crop x 594, crop y 0;
8.880000 crop w 405, crop h 720, crop x 589, crop y 0;
8.920000 crop w 405, crop h 720, crop x 583, crop y 0;
8.960000 crop w 405, crop h 720, crop x 576, crop y 0;
9.000000 crop w 405, crop h 720, crop x 569, crop y 0;
9.040000 crop w 405, crop h 720, crop x 562, crop y 0;
9.080000 crop w 405, crop h 720, crop x 554, crop y 0;
9.120000 crop w 405, crop h 720, crop x 547, crop y 0;
9.160000 crop w 405, crop h 720, crop x 539, crop y 0;
9.200000 crop w 405, crop h 720, crop x 532, crop y 0;
9.240000 crop w 405, crop h 720, crop x 524, crop y 0;
9.280000 crop w 405, crop h 720, crop x 517, crop y 0;
9.320000 crop w 405, crop h 720, crop x 508, crop y 0;
9.360000 crop w 405, crop h 720, crop x 502, crop y 0;
9.400000 crop w 405, crop h 720, crop x 496, crop y 0;
9.440000 crop w 405, crop h 720, crop x 492, crop y 0;
9.480000 crop w 405, crop h 720, crop x 489, crop y 0;
9.520000 crop w 405, crop h 720, crop x 486, crop y 0;
9.560000 crop w 405, crop h 720, crop x 484, crop y 0;
9.600000 crop w 405, crop h 720, crop x 482, crop y 0;
9.640000 crop w 405, crop h 720, crop x 480, crop y 0;
9.680000 crop w 405, crop h 720, crop x 479, crop y 0;
9.720000 crop w 405, crop h 720, crop x 478, crop y 0;
9.760000 crop w 405, crop h 720, crop x 477, crop y 0;
9.800000 crop w 405, crop h 720, crop x 474, crop y 0;
9.840000 crop w 405, crop h 720, crop x 472, crop y 0;
9.880000 crop w 405, crop h 720, crop x 469, crop y 0;
9.920000 crop w 405, crop h 720, crop x 465, crop y 0;
9.960000 crop w 405, crop h 720, crop x 461, crop y 0;
10.000000 crop w 405, crop h 720, crop x 456, crop y 0;
10.040000 crop w 405, crop h 720, crop x 451, crop y 0;
10.080000 crop w 405, crop h 720, crop x 446, crop y 0;
10.120000 crop w 405, crop h 720, crop x 440, crop y 0;
10.160000 crop w 405, crop h 720, crop x 434, crop y 0;
10.200000 crop w 405, crop h 720, crop x 429, crop y 0;
10.240000 crop w 405, crop h 720, crop x 422, crop y 0;
10.280000 crop w 405, crop h 720, crop x 417, crop y 0;
10.320000 crop w 405, crop h 720, crop x 412, crop y 0;
10.360000 crop w 405, crop h 720, crop x 407, crop y 0;
10.400000 crop w 405, crop h 720, crop x 403, crop y 0;
10.440000 crop w 405, crop h 720, crop x 399, crop y 0;
10.480000 crop w 405, crop h 720, crop x 402, crop y 0;
10.520000 crop w 405, crop h 720, crop x 406, crop y 0;
10.560000 crop w 405, crop h 720, crop x 413, crop y 0;
10.600000 crop w 405, crop h 720, crop x 422, crop y 0;
10.640000 crop w 405, crop h 720, crop x 432, crop y 0;
10.680000 crop w 405, crop h 720, crop x 445, crop y 0;
10.720000 crop w 405, crop h 720, crop x 458, crop y 0;
10.760000 crop w 405, crop h 720, crop x 473, crop y 0;
10.800000 crop w 405, crop h 720, crop x 488, crop y 0;
10.840000 crop w 405, crop h 720, crop x 503, crop y 0;
10.880000 crop w 405, crop h 720, crop x 518, crop y 0;
10.920000 crop w 405, crop h 720, crop x 533, crop y 0;
10.960000 crop w 405, crop h 720, crop x 548, crop y 0;
11.000000 crop w 405, crop h 720, crop x 563, crop y 0;
11.040000 crop w 405, crop h 720, crop x 577, crop y 0;
11.080000 crop w 405, crop h 720, crop x 590, crop y 0;
11.120000 crop w 405, crop h 720, crop x 602, crop y 0;
11.160000 crop w 405, crop h 720, crop x 613, crop y 0;
11.200000 crop w 405, crop h 720, crop x 623, crop y 0;
11.240000 crop w 405, crop h 720, crop x 632, crop y 0;
11.280000 crop w 405, crop h 720, crop x 640, crop y 0;
11.320000 crop w 405, crop h 720, crop x 647, crop y 0;
11.360000 crop w 405, crop h 720, crop x 652, crop y 0;
11.400000 crop w 405, crop h 720, crop x 657, crop y 0;
11.440000 crop w 405, crop h 720, crop x 661, crop y 0;
11.480000 crop w 405, crop h 720, crop x 664, crop y 0;
11.520000 crop w 405, crop h 720, crop x 666, crop y 0;
11.560000 crop w 405, crop h 720, crop x 668, crop y 0;
11.600000 crop w 405, crop h 720, crop x 670, crop y 0;
11.640000 crop w 405, crop h 720, crop x 671, crop y 0;
11.680000 crop w 405, crop h 720, crop x 672, crop y 0;
11.720000 crop w 405, crop h 720, crop x 673, crop y 0;
11.760000 crop w 405, crop h 720, crop x 674, crop y 0;
11.800000 crop w 405, crop h 720, crop x 674, crop y 0;
11.840000 crop w 405, crop h 720, crop x 675, crop y 0;
11.880000 crop w 405, crop h 720, crop x 675, crop y 0;
11.920000 crop w 405, crop h 720, crop x 676, crop y 0;
11.960000 crop w 405, crop h 720, crop x 677, crop y 0;
